candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
reg=0.3_prior=6.0_home=0.0_wt=core_heavy,overall,2333,0.5837976853836262,0.6806224777059307,0.24376425236970126,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.3,6.0,0.0,core_heavy
reg=0.3_prior=6.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5675675675675675,0.68388762444979,0.24538651146996457,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,6.0,0.0,core_heavy
reg=0.3_prior=6.0_home=0.02_wt=live,overall,2333,0.6163737676810973,0.6772447784912045,0.24208328425837625,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.3,6.0,0.02,live
reg=0.3_prior=6.0_home=0.02_wt=live,weeks_1_6,814,0.5995085995085995,0.6811381740911331,0.2440178782213715,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,6.0,0.02,live
reg=0.3_prior=6.0_home=0.02_wt=core_only,overall,2333,0.5692241748821261,0.6833899740531446,0.24514196458742954,0.6691855583543241,0.6066100785516633,0.3263293310463122,2332,0.3,6.0,0.02,core_only
reg=0.3_prior=6.0_home=0.02_wt=core_only,weeks_1_6,814,0.5614250614250614,0.6867412304333447,0.2468062816829033,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.3,6.0,0.02,core_only
reg=0.3_prior=6.0_home=0.02_wt=core_heavy,overall,2333,0.5885126446635234,0.6800032036015861,0.24345649679499756,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.3,6.0,0.02,core_heavy
reg=0.3_prior=6.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5700245700245701,0.6837433216148637,0.24531464585006432,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.3,6.0,0.02,core_heavy
reg=0.3_prior=6.0_home=0.05_wt=live,overall,2333,0.6082297471067295,0.6765436938727839,0.2417375263558058,0.6691855583543241,0.6066100785516633,0.33147512864493994,2332,0.3,6.0,0.05,live
reg=0.3_prior=6.0_home=0.05_wt=live,weeks_1_6,814,0.5872235872235873,0.6811231442910037,0.2440127015387067,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.3,6.0,0.05,live
reg=0.3_prior=6.0_home=0.05_wt=core_only,overall,2333,0.5730818688384055,0.6826136977154009,0.24475737532408764,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.3,6.0,0.05,core_only
reg=0.3_prior=6.0_home=0.05_wt=core_only,weeks_1_6,814,0.5528255528255528,0.6866712000533977,0.2467715817161592,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.3,6.0,0.05,core_only
reg=0.3_prior=6.0_home=0.05_wt=core_heavy,overall,2333,0.5949421345906558,0.6792725644388229,0.2430954166059348,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.3,6.0,0.05,core_heavy
reg=0.3_prior=6.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5773955773955773,0.6837082418898505,0.24529833148460184,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.3,6.0,0.05,core_heavy
reg=0.3_prior=10.0_home=0.0_wt=live,overall,2333,0.6116588084012001,0.6777722335274341,0.24234513202398195,0.6691855583543241,0.6066100785516633,0.33147512864493994,2332,0.3,10.0,0.0,live
reg=0.3_prior=10.0_home=0.0_wt=live,weeks_1_6,814,0.5995085995085995,0.6812511396503043,0.244073198378354,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,10.0,0.0,live
reg=0.3_prior=10.0_home=0.0_wt=core_only,overall,2333,0.574367766823832,0.6838688809238667,0.2453803073527166,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.3,10.0,0.0,core_only
reg=0.3_prior=10.0_home=0.0_wt=core_only,weeks_1_6,814,0.5528255528255528,0.6868154381080618,0.24684418578734046,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,10.0,0.0,core_only
reg=0.3_prior=10.0_home=0.0_wt=core_heavy,overall,2333,0.5910844406343764,0.6805013226821209,0.24370399828148026,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.3,10.0,0.0,core_heavy
reg=0.3_prior=10.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5700245700245701,0.6838199024507496,0.24535281322670432,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.3,10.0,0.0,core_heavy
reg=0.3_prior=10.0_home=0.02_wt=live,overall,2333,0.609515645092156,0.6771733085185087,0.2420476597519384,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.3,10.0,0.02,live
reg=0.3_prior=10.0_home=0.02_wt=live,weeks_1_6,814,0.581081081081081,0.6811179640911622,0.24400744182742734,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.3,10.0,0.02,live
reg=0.3_prior=10.0_home=0.02_wt=core_only,overall,2333,0.5730818688384055,0.6832160128202733,0.24505581958079864,0.6691855583543241,0.6066100785516633,0.3263293310463122,2332,0.3,10.0,0.02,core_only
reg=0.3_prior=10.0_home=0.02_wt=core_only,weeks_1_6,814,0.558968058968059,0.6866397319279335,0.24675656122178485,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.3,10.0,0.02,core_only
reg=0.3_prior=10.0_home=0.02_wt=core_heavy,overall,2333,0.5915130732961852,0.6798806728892322,0.2433956661779267,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.3,10.0,0.02,core_heavy
reg=0.3_prior=10.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5687960687960688,0.6836700380516819,0.2452783174956932,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.3,10.0,0.02,core_heavy
reg=0.3_prior=10.0_home=0.05_wt=live,overall,2333,0.6082297471067295,0.6764715757141195,0.2417017016783253,0.6691855583543241,0.6066100785516633,0.3319039451114923,2332,0.3,10.0,0.05,live
reg=0.3_prior=10.0_home=0.05_wt=live,weeks_1_6,814,0.5896805896805897,0.6810986053580066,0.24400025422373528,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.3,10.0,0.05,live
reg=0.3_prior=10.0_home=0.05_wt=core_only,overall,2333,0.5726532361765967,0.6824375989779158,0.24467033221410736,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.3,10.0,0.05,core_only
reg=0.3_prior=10.0_home=0.05_wt=core_only,weeks_1_6,814,0.5503685503685504,0.6865601121030256,0.2467173180404895,0.6298076923076923,0.636911125040649,0.36162361623616235,813,0.3,10.0,0.05,core_only
reg=0.3_prior=10.0_home=0.05_wt=core_heavy,overall,2333,0.5940848692670382,0.6791481085854006,0.24303379101986658,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.3,10.0,0.05,core_heavy
reg=0.3_prior=10.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5700245700245701,0.683627083080794,0.2452582832489979,0.6298076923076923,0.636911125040649,0.36162361623616235,813,0.3,10.0,0.05,core_heavy
reg=0.5_prior=3.0_home=0.0_wt=live,overall,2333,0.6133733390484355,0.6778766803514369,0.24239728101845856,0.6691855583543241,0.6066100785516633,0.33061749571183535,2332,0.5,3.0,0.0,live
