n_pa_ending,n_matched,n_unmatched,compliance_rate,mean_pa_value_matched,mean_pa_value_unmatched,pooled_p_value,n_batters_paired,paired_p_value,paired_mean_diff,shrinkage_strength,hitter_multiplier,pitcher_multiplier,leverage_multiplier
86389,40036,46353,0.5432165198089729,0.7524228194624838,0.6297111298082109,4.0970101449821204e-138,495,2.255928032039128e-18,0.10744897275451384,10.0,1.1,0.9,0.98
86389,40143,46246,0.54316972811099,0.7516628054704432,0.630086926436881,2.2827184168496102e-135,495,3.296317732587946e-18,0.1064723952905772,10.0,1.1,0.9,0.95
86389,41195,45194,0.5441903720232438,0.7436824857385606,0.6345311324512103,9.828013241109074e-126,494,4.3345249499544237e-16,0.09829871151274094,10.0,1.15,0.85,1.0
86389,41260,45129,0.5441377313630129,0.7431168201648085,0.6348910899864832,1.4573633574835125e-123,494,8.457228252739196e-16,0.09730810274253111,10.0,1.15,0.85,0.98
86389,41362,45027,0.5440295255614273,0.7423238721531841,0.6353743309569814,1.5466621111328829e-120,494,1.874077832688381e-15,0.09589547611574753,10.0,1.15,0.85,0.95
86389,44817,41572,0.544734325512296,0.710221567708682,0.6610940055806793,1.6704647453991204e-59,496,0.00032780089737801207,0.04024084048813421,10.0,1.3,0.7,1.0
86389,44871,41518,0.5446231952295864,0.7099017182590092,0.6613757888144901,1.7663968861598057e-58,496,0.0004002777885329796,0.03948087478439043,10.0,1.3,0.7,0.98
86389,44954,41435,0.544553007682612,0.7095697824442764,0.6616387112344636,2.603056526516747e-57,496,0.0005399642927564849,0.038452589977962685,10.0,1.3,0.7,0.95
86389,37364,49025,0.5378003807674423,0.7683063911786746,0.6242937276899541,4.08217471982543e-153,490,5.054507585293347e-25,0.12923633906996795,20.0,1.0,1.0,1.0
86389,37466,48923,0.5377565135505833,0.7676293172476378,0.6245119882263965,4.173793773551594e-150,490,6.896024389243671e-25,0.12788098778081308,20.0,1.0,1.0,0.98
86389,37627,48762,0.5375576488341556,0.7666037685704414,0.6248308108773225,2.657641055937812e-145,490,2.8285023760518136e-24,0.12577288651634075,20.0,1.0,1.0,0.95
86389,39068,47321,0.5402364735436815,0.7566038701750794,0.6287694681008432,1.8194514080396933e-142,490,1.370323176748636e-21,0.11326862617102426,20.0,1.05,0.95,1.0
86389,39174,47215,0.5402101532135661,0.7561392760504416,0.6288679445091602,1.9307469794389194e-140,490,2.4161219365237933e-21,0.11214664571724332,20.0,1.05,0.95,0.98
86389,39335,47054,0.5400844005252368,0.7554595144273548,0.6290007225740638,4.668148259076635e-137,491,2.902626309843107e-21,0.11193927121656962,20.0,1.05,0.95,0.95
86389,40220,46169,0.5423596468396594,0.7491546494281452,0.6320691372999199,5.1817642538261634e-132,490,5.026082076851999e-19,0.10439954115071752,20.0,1.08,0.92,1.0
86389,40318,46071,0.5423304020284201,0.7485738379879955,0.6323283627444597,9.598070741774061e-130,490,8.696478586479645e-19,0.10326021097388279,20.0,1.08,0.92,0.98
86389,40471,45918,0.5421286128308684,0.7479429715104643,0.6324970599764798,1.5494840039564678e-126,491,1.0477745901854815e-18,0.10326880875596285,20.0,1.08,0.92,0.95
86389,40809,45580,0.5424766260846169,0.7441495748486854,0.6350372970601141,2.5055649316909803e-123,491,1.2106822895134049e-16,0.09709911483090607,20.0,1.1,0.9,1.0
86389,40902,45487,0.5423859671697749,0.7435822209182925,0.6353243783938268,5.662773390897178e-121,491,2.36750997081089e-16,0.09578648827565145,20.0,1.1,0.9,0.98
