name_first,name_last,PA_L,PA_R,probability_L,probability_R,probability,Game_Hit_Probability,Consistency,Approach,Expected_Bases
Pete,Alonso,74.0,181,0.5483029073556218,0.6429438029809313,0.6171031945463312,0.7097619047619048,0.09265871021557359,0.43799633879586036,1.4802842394533573
Ezequiel,Duran,37.0,144,0.4632582099817347,0.7259386113414547,0.6821275454707245,0.7028896103896104,0.02076206491888588,0.4794603646719388,1.651603687560843
JJ,Wetherholt,84.0,173,0.5474197917845842,0.6085419179795093,0.589258322713063,0.7024619883040936,0.11320366559103057,0.41393157299775346,1.1268169532976005
Alec,Burleson,68.0,175,0.4417607680218216,0.6791883566197603,0.6219981026370571,0.701889338731444,0.07989123609438686,0.43657383695213686,1.1216417401536851
Leody,Taveras,53.0,115,0.5695086293840361,0.6916557211278938,0.6562310896150203,0.7016666666666667,0.04543557705164636,0.4604554812132059,1.3420629367338333
Fernando,Tatís,49.0,190,0.8277052707383593,0.5762930202252351,0.6413087320186032,0.7005799755799755,0.059271243561372366,0.4492880558168181,1.1068045095304508
Nick,Kurtz,82.0,176,0.7215658295382821,0.6381777283043757,0.6663818944047436,0.6995210727969349,0.03313917839219127,0.46614817766646,1.6456840578608705
Julio,Rodríguez,71.0,195,0.637931788931539,0.6355170028081327,0.6361626729768937,0.6993384074941451,0.06317573451725145,0.4448929906268794,1.895436840049713
Corbin,Carroll,77.0,160,0.7730710690169771,0.5975650727649591,0.6625277484887598,0.695489417989418,0.03296166950065815,0.4607810381982871,1.584307399403108
Pete,Crow-Armstrong,86.0,161,0.5945334111975104,0.5612333959162026,0.573041110343135,0.6901190476190476,0.11707793727591265,0.3954665853165659,1.2445892656183812
Nolan,Arenado,52.0,148,0.4147112637817145,0.6096092233131474,0.5642681436700585,0.6900092592592593,0.12574111558920076,0.3893502438373744,0.0
CJ,Abrams,76.0,176,0.5312996301121254,0.6721155271413449,0.6333852311541379,0.6874404761904762,0.054055245036338295,0.4354146449166154,1.556304515050738
Casey,Schmitt,61.0,152,0.8598952426005704,0.5633958273183448,0.6731752759394356,0.6871153846153846,0.01394010867594897,0.46254908864069294,1.8057378942902522
Tyler,Soderstrom,59.0,175,0.7368740280196453,0.6004010313474879,0.6386955672067747,0.6866910866910867,0.04799551948431202,0.4385865531100001,1.8465560424861935
Connor,Wong,19.0,55,0.512708282162365,0.6453429316587289,0.6141232702603505,0.6851010101010101,0.07097773984065958,0.42073647278190174,1.534991554054054
Vinnie,Pasquantino,65.0,174,0.5743539981534485,0.5986250405813152,0.5921246987682327,0.6850974658869395,0.09297276711870683,0.40566313061518366,1.0323333851185792
Freddie,Freeman,74.0,170,0.573995339353988,0.5923520392830222,0.5868457822325717,0.6845175438596491,0.09767176162707747,0.4017062334782345,1.7636752747450277
Bryan,Reynolds,86.0,168,0.7796366434286779,0.6157748893470738,0.6785938327526989,0.6833333333333333,0.004739500580634437,0.4637057857143443,1.6983988724912207
Riley,Greene,77.0,176,0.48578530541176246,0.715313893358384,0.6554866060265725,0.683217213114754,0.027730607088181536,0.4478397322035236,1.3372624491260074
Oswald,Peraza,70.0,109,0.6550307592690805,0.6952450713992755,0.6799417825259984,0.6817948717948719,0.001853089268873509,0.4635808204452897,1.4969584109248912
JJ,Bleday,34.0,97,0.7770456835148645,0.6057478137116568,0.6569998915804082,0.6811529271206691,0.024153035540260936,0.44751739926795725,2.085411118808836
Chandler,Simpson,75.0,159,0.4375136419563065,0.7284514370574963,0.6512215351711811,0.6783809523809524,0.02715941720977133,0.44177628524041174,1.0441649381294693
Konnor,Griffin,47.0,159,0.5945807810662351,0.6311618437637342,0.6230324074728923,0.6754226190476191,0.052390211574726786,0.4208101804068844,1.434713253966519
Cole,Young,76.0,161,0.5617949256306878,0.6140508658590453,0.5978081079543096,0.67288056206089,0.07507245410658037,0.40225345568485305,1.1704070845225687
Paul,Goldschmidt,59.0,68,0.8172710076052161,0.4633870928234618,0.6611375946605329,0.6703484654731457,0.009210870812612848,0.44319257204729484,1.7029226741505283
Willy,Adames,65.0,186,0.3998603036980688,0.6771589652914292,0.6168019918060257,0.6679963680387409,0.051194376232715166,0.41202149032548635,1.7901562012583958
Rafael,Devers,79.0,168,0.3693334350117006,0.7021670123109061,0.6145504597630969,0.6679166666666667,0.05336620690356986,0.41046849458343515,1.6109864332010655
Brandon,Lowe,65.0,171,0.6360643834375077,0.6167227661503016,0.6221214047804766,0.6665669515669516,0.04444554678647494,0.4146855682890718,1.5196614070095913
Wilyer,Abreu,73.0,171,0.8494561767868379,0.4367423477222593,0.6012399819095444,0.6631410256410257,0.06190104373148131,0.39870689825988703,1.0697610522536376
Daylen,Lile,77.0,183,0.5237826295495485,0.5492006253327637,0.5417766103940147,0.6616071428571428,0.11983053246312814,0.3584432752696115,0.981655313157173
Michael,Busch,75.0,183,0.4518784629015584,0.6101580474414852,0.5680696516640339,0.6612167070217918,0.09314705535775791,0.3756171444323088,1.262184225677594
Ezequiel,Tovar,49.0,170,0.42605599608595535,0.6165926091156702,0.5786398537771316,0.6601140350877193,0.0814741813105877,0.38196828873939015,1.483321450230113
Jacob,Young,60.0,144,0.6572175072813639,0.5496472318546469,0.5834770072897655,0.6570092592592593,0.07353225196949387,0.3833497963542583,1.6552248508098892
Mike,Trout,69.0,196,0.5342201273609413,0.5502818772220373,0.5461384804430709,0.6544642857142857,0.10832580527121483,0.3574281305042598,1.2794930498611163
Jake,Bauers,50.0,147,0.5879487352343934,0.5922835066285919,0.5911864104744602,0.6540793650793651,0.06289295460490496,0.38668283200668385,1.455009942669869
Matt,Olson,112.0,149,0.5528839046582243,0.5410960550021351,0.5461812873940206,0.6537037037037037,0.10752241630968307,0.3570407304631283,1.384042151076303
Nico,Hoerner,78.0,191,0.613860924031827,0.5072396322335773,0.5400793183274311,0.6528939108600126,0.11281459253258153,0.35261449831740616,0.8170518182251454
José,Ramírez,73.0,186,0.6778626800388681,0.4446123439109215,0.519644940043924,0.652454137392662,0.13280919734873797,0.33904449110682,1.218834438834439
Carlos,Cortes,11.0,147,0.5045790303594524,0.628120847446958,0.6203240083808006,0.6502881205673758,0.029964112186575242,0.4033893335527719,1.0752897411689308
Kyle,Schwarber,92.0,159,0.7506552866254659,0.4855416745615978,0.5987042956049166,0.65,0.05129570439508346,0.3891577921431958,1.7863758407231292
Curtis,Mead,74.0,86,0.5824556757486168,0.6460422197564311,0.6175648528744073,0.6489734299516908,0.031408577077283506,0.40078318078751546,1.6875724409829722
Miguel,Vargas,76.0,178,0.666464668264296,0.5276661436396225,0.5728410425225927,0.6442727823024433,0.07143173977985062,0.3690658922830631,1.6262940665250851
Ozzie,Albies,105.0,150,0.6126315688917376,0.6123396539556842,0.6124598732461248,0.6427777777777778,0.03031790453165295,0.3936755963032036,1.2688430082559339
Kazuma,Okamoto,56.0,181,0.6878621110594438,0.42660857355939663,0.49874356118201946,0.6420883940620783,0.14334483288005884,0.32023745224816474,1.1928412737889684
Aaron,Judge,72.0,181,0.5548297005634921,0.549881183633425,0.5512934362816337,0.640679927809165,0.08938649152753131,0.3532026389585836,1.0991841278231473
Randy,Arozarena,66.0,190,0.5013677293624684,0.6425460298406542,0.6093166260141554,0.6406381733021078,0.031321547287952445,0.3903514902523121,1.3910695393880208
Ronald,Acuña,72.0,132,0.2875558725418005,0.6885493314633595,0.5732917307795126,0.6405053883314753,0.06721365755196274,0.3671964426501553,2.1875799039373818
Brooks,Lee,76.0,144,0.4832741842311872,0.6775003011966125,0.6176918196858459,0.6371091871091872,0.019417367423341325,0.39353713312404387,1.661846067583732
Coby,Mayo,48.0,108,0.7976291568901394,0.4843375876333855,0.6032427705815224,0.634090909090909,0.030848138509386613,0.38251075680055624,1.6716255574136012
Elly,De La Cruz,72.0,184,0.7016031924430329,0.5714720135426908,0.6115020491831555,0.6319628647214854,0.020460815538329902,0.38644658678484567,1.351676243232657
J. P.,Crawford,67.0,154,0.5749560755996517,0.5255904924773402,0.5409669544065177,0.6314173789173789,0.09045042451086127,0.3415759364322806,1.4361081617836409
Jordan,Walker,56.0,185,0.4480028680090349,0.6603464079090383,0.6174253820101645,0.6304880791722898,0.01306269716212527,0.38927934313580587,1.2213848707970378
Nathaniel,Lowe,17.0,127,0.0,0.621101505852109,0.5686713126158411,0.6287891986062718,0.060117885990430664,0.3575743789300914,1.579117019980507
Will,Smith,49.0,137,0.410488798632634,0.628694861939671,0.5780654230001996,0.6260204081632653,0.04795498516306573,0.36188075205165554,1.479336633090802
