name_first,name_last,at_bats,PAVE_PLUS,Expected_Hits,Expected_Bases,Expected_HRs
Randy,Vásquez,245,1.0306408256540758,5.666946722419855,10.203058936112672,1.0490547754269903
Bailey,Ober,279,1.0305472547125683,5.820584724635491,11.198097873804906,1.3348004583112993
Freddy,Peralta,283,1.0293808055422478,4.772281978798587,8.429035689045937,0.7043446407538281
Steven,Matz,183,1.0211417345429359,5.141703438925182,8.054859936727064,0.6771487735732774
Gavin,Williams,303,1.020293552779684,4.697223914699162,7.736322670728612,0.5366571464838792
Noah,Cameron,227,1.020011529515488,4.9809854142814185,7.611487700329322,0.25682819383259914
Shane,Baz,271,1.0177184879901877,4.758561319730845,7.801917511033933,0.5761721843571378
Sonny,Gray,206,1.0173753752031498,4.757596420402298,7.299786730082462,0.28089374829870245
Carmen,Mlodzinski,235,1.0148789840027492,5.325287234042553,7.788952887537994,0.4150117781155015
Bubba,Chandler,232,1.0141762972455504,4.273594307215324,7.175805592349456,0.46501422832273187
Shota,Imanaga,283,1.010248551426066,5.035811600479434,10.341875442577663,1.4159576651325576
Jacob,deGrom,257,1.0100474460651274,4.646674127466754,8.974252282773302,1.2002753928260084
Parker,Messick,269,1.0052421886636052,4.617439378742547,7.386706503228779,0.5469962782598303
Colin,Rea,255,1.0049597936835153,5.047333285304323,8.525283311119916,0.9062667050898743
Nick,Martínez,267,1.0031400871464,5.778923415016722,8.21858483615246,0.30756287280861805
Foster,Griffin,278,1.002100623898405,4.67380045259567,9.081280778194346,1.2153691694531699
Mike,Burrows,275,0.9998630775824,5.139103703703704,9.334088888888889,1.0767555555555555
José,Soriano,311,0.9988100535453,4.152699249732047,6.154064951768488,0.5381770632368703
Nolan,McLean,275,0.9984202465100271,4.308869047619048,7.690238095238096,0.8396126984126985
Braxton,Ashcraft,293,0.9924160802897111,4.530499743556511,7.031200382615901,0.5418025152509103
Mitch,Keller,279,0.9918675786961624,5.112283902477452,7.823671905155777,0.381084209697113
Miles,Mikolas,217,0.9888565847208804,5.616185306628854,9.62897243885147,0.9443291386033321
Ryan,Weathers,258,0.9881594410920537,4.426938424391723,8.067769387176554,1.07295565852371
Jack,Leiter,287,0.988017903875333,4.319877605111832,6.860435557688298,0.5448079715565145
Will,Warren,268,0.9872465719155253,4.782973875160381,7.3604773727283925,0.5188492276354991
Lance,McCullers,172,0.9794012773831798,4.220405485986881,8.31913536076327,0.9229964221824689
Dustin,May,252,0.9757577516253033,4.647820916984679,7.017502350533709,0.41818677064321663
Brandon,Young,186,0.9716332333676488,4.873562656245293,7.3417619951206285,0.4740629423812536
Emmet,Sheehan,237,0.9714350715825429,4.693145469158127,9.228473980309422,1.1025306409483624
Chris,Sale,263,0.9712661717509173,4.063172452272444,5.829568541868113,0.3122774458325789
Cristopher,Sánchez,321,0.9701336450904069,4.498059541046905,5.6980605940941595,0.10897196261682242
Merrill,Kelly,229,0.9675518853655138,5.29921966440318,9.585888868101293,0.8671255150244703
Michael,McGreevy,262,0.9658534561343548,5.22841926993115,8.132563029861386,0.6126283434278273
Luis,Castillo,245,0.9651023828397037,4.302509070294786,6.845364229024944,0.4893035714285714
Paul,Skenes,252,0.9646581582979721,4.359114233671611,7.095311995836586,0.5020499609679937
Tomoyuki,Sugano,238,0.9635176992496476,5.520143664964989,10.29624324161256,1.0559119507396098
Drew,Rasmussen,235,0.9594098895422853,4.855739828294139,7.198843971631206,0.6186905561776782
Eury,Pérez,264,0.9587113509579961,3.956347889139543,8.241990278225373,0.9915391019443549
Roki,Sasaki,221,0.9574278203823621,4.526327538302771,8.097333412717314,0.7504074779709453
Michael,Soroka,253,0.9538946130369432,4.819965610415132,6.770423728813558,0.23375460574797344
Joe,Ryan,280,0.9507533950472662,4.275047386481754,6.972739474021443,0.5588395010750239
Yoshinobu,Yamamoto,269,0.9480891642701932,4.3674951612415756,7.017592673859824,0.6872367274156013
Walker,Buehler,220,0.946083716572289,4.817,6.760500000000001,0.377
Anthony,Kay,253,0.9428056336026914,4.6041203392112,7.428868863334807,0.676681056862104
Jeffrey,Springs,274,0.9406038007664468,4.820782004176195,9.274134683584547,1.122212147941319
Framber,Valdez,293,0.9403442774562609,4.696215626523647,7.84264602632862,0.6503403624248334
Bryce,Elder,290,0.9385990372678692,4.905721011784214,6.818425944300218,0.4541385426719041
Michael,Wacha,299,0.9375920846560195,4.539963914803732,7.811096417884175,0.5247364020418941
Joey,Cantillo,242,0.930063902300948,4.253050092764379,6.953376623376624,0.5851094619666048
Sean,Burke,269,0.9288508108731011,4.282128735628515,6.858469256234229,0.3018381135864109
Kyle,Bradish,279,0.9239180385592546,4.301412992831541,7.322713799283154,0.5747559139784946
Cam,Schlittler,273,0.9186002641064323,4.31396582231328,5.990513557769914,0.32090376078723537
Mike,King,271,0.9112514761168481,4.168157753371863,6.320726927899833,0.5166293785028413
Zack,Littell,254,0.9105279164557195,4.9257653563809916,8.532107149613754,0.8500869972032286
Eric,Lauer,182,0.9079567139010628,4.827220843672457,9.795604395604396,1.4439524991137895
Chad,Patrick,181,0.9046806843500025,4.552927215950037,6.72915439186484,0.12883977900552485
Martín,Pérez,202,0.9046450679780064,4.32632681338786,8.03299356973741,0.6773828293155402
Andrew,Abbott,268,0.9039370510022544,4.713920599704182,7.745944601317736,0.9091572542691946
Davis,Martin,263,0.8971741869266684,4.130224036382614,6.103706219179688,0.18199539892002428
Ryne,Nelson,274,0.8966894076363421,4.804229927007299,9.726240404991758,1.298980154058327
Connelly,Early,253,0.8913428243454611,4.263220219158713,7.4328328031106405,0.8157744786143514
Logan,Gilbert,275,0.8881718002987249,4.200469348659003,7.819779310344826,0.8182103448275863
Chase,Dollander,185,0.8756467589405776,4.06632991612302,7.238328052190122,0.6797138863000932
Kyle,Harrison,206,0.8747200554922847,3.961736597720557,5.336411143942592,0.22280582524271847
Peter,Lambert,189,0.8745633502462703,3.99004051013595,5.658208745027409,0.2835453101943028
Walbert,Ureña,191,0.8740661401991309,4.031205065047441,5.88956387096451,0.347273147910455
Nathan,Eovaldi,282,0.868550988976633,4.142573955396052,7.64029283089806,0.9125297786892248
Justin,Wrobleski,249,0.8494496240884004,4.477467918496729,6.956357684920283,0.5627808088541456
Eduardo,Rodríguez,296,0.8476809529976714,4.433363097182597,6.822786979162885,0.2968448565406664
Kumar,Rocker,238,0.8455744276407842,4.1467835512463935,5.8801024333728185,0.44778719220785973
Max,Meyer,275,0.8314933927892938,3.6246748858447493,5.5640229071537295,0.39523915525114156
Bryan,Woo,275,0.8308312981001041,3.862904904051173,5.315979051172708,0.25440000000000007
Chase,Burns,248,0.830544469168426,3.5667044463818653,6.765122161331839,0.7484585045875368
Emerson,Hancock,271,0.8058736847935859,3.807711878467706,6.495726003145823,0.6970231407125222
MacKenzie,Gore,255,0.8052424642660015,3.71912726600074,6.152625971143174,0.32935294117647057
Ben,Brown,199,0.794257562926078,3.6508726440007853,4.291346220592452,0.05859296482412061
Shane,McClanahan,221,0.7820791463857075,3.8063259739031428,5.4890346765769005,0.23483043585547952
Keider,Montero,239,0.7820313708507779,4.1288295602217655,7.386300819638409,0.6994484392506854
Casey,Mize,183,0.7658352159781959,3.6966896750071907,5.7361820534943915,0.12743169398907103
Max,Fried,237,0.7645649448165323,3.7140758132571117,4.586552334286103,0.049198312236286915
J. T.,Ginn,239,0.7600073439333017,3.4057897936559027,5.22804509530451,0.4607111182634195
Jacob,Misiorowski,272,0.7504862101148813,2.7859668705152147,3.5419094828191486,0.17147058823529412
Clay,Holmes,213,0.7394069124953263,3.4852269170579033,4.658753912363067,0.16422535211267605
Kris,Bubic,207,0.7017601258681918,3.1105403726708074,4.7661959972394765,0.30859972394755003
Spencer,Arrighetti,196,0.6632044897108854,2.8869503556765377,4.131139142466124,0.26642984975862116
Shohei,Ohtani,211,0.5996567685241716,2.5516754778951007,3.6421917630619864,0.23456388020570737
