team,game_id,Decision_Score,win,pyth_strength
ATL,639,48.07342948894722,1,0.48081429919583213
ATL,661,47.39969019741209,0,0.48081429919583213
ATL,674,47.98404858196798,0,0.48081429919583213
ATL,694,48.75103185470106,1,0.48081429919583213
ATL,705,47.39969019741209,0,0.48081429919583213
ATL,714,49.202379659567924,1,0.48081429919583213
ATL,728,47.4842937949871,1,0.48081429919583213
ATL,744,48.35948964627011,0,0.48081429919583213
ATL,760,48.785565337674555,0,0.48081429919583213
ATL,771,49.532121642067075,0,0.48081429919583213
ATL,790,49.51057289945041,1,0.48081429919583213
ATL,803,48.22694852286331,0,0.48081429919583213
ATL,811,53.52182504491026,0,0.48081429919583213
ATL,826,50.21237169056196,1,0.48081429919583213
ATL,853,47.458220926931354,1,0.48081429919583213
ATL,868,48.36072920849101,0,0.48081429919583213
ATL,882,48.74130595842714,0,0.48081429919583213
ATL,893,45.86366226867767,1,0.48081429919583213
ATL,907,46.34796593135014,0,0.48081429919583213
ATL,918,46.802019844905665,0,0.48081429919583213
ATL,945,47.10761316846407,0,0.48081429919583213
ATL,960,45.86366226867767,0,0.48081429919583213
ATL,973,45.81432872157268,1,0.48081429919583213
ATL,984,45.86366226867767,1,0.48081429919583213
ATL,1000,47.39969019741209,1,0.48081429919583213
ATL,1003,46.29511993361145,1,0.48081429919583213
ATL,1010,45.86366226867767,1,0.48081429919583213
ATL,1042,45.86366226867767,1,0.48081429919583213
ATL,1058,44.57301280557645,1,0.48081429919583213
ATL,1072,45.04231226699171,1,0.48081429919583213
ATL,1076,47.13060650247219,1,0.48081429919583213
ATL,1090,44.47551674129381,1,0.48081429919583213
ATL,1101,45.755927785487145,0,0.48081429919583213
ATL,1133,44.47551674129381,0,0.48081429919583213
ATL,1141,44.47551674129381,0,0.48081429919583213
ATL,1163,46.45327120690796,1,0.48081429919583213
AZ,1,51.60003591225029,1,0.5605587468378446
AZ,19,53.488490417753205,0,0.5605587468378446
AZ,33,53.2479440872555,0,0.5605587468378446
AZ,50,55.35997764598219,0,0.5605587468378446
AZ,66,52.49210053693079,1,0.5605587468378446
AZ,80,52.28695832578438,0,0.5605587468378446
AZ,90,51.77063752716316,1,0.5605587468378446
AZ,97,52.67277169131264,0,0.5605587468378446
AZ,111,44.76904863658506,1,0.5605587468378446
AZ,126,52.67277169131264,0,0.5605587468378446
AZ,141,55.653880761617096,0,0.5605587468378446
AZ,153,51.542900581369814,0,0.5605587468378446
AZ,167,52.661056506249814,1,0.5605587468378446
AZ,183,54.16360797718765,1,0.5605587468378446
AZ,197,52.54950639155504,1,0.5605587468378446
AZ,213,52.63616960785371,1,0.5605587468378446
AZ,229,52.32147446048301,0,0.5605587468378446
AZ,243,52.5252944044928,0,0.5605587468378446
AZ,264,52.32147446048301,0,0.5605587468378446
AZ,285,42.07602412225838,1,0.5605587468378446
AZ,303,42.3542562872345,0,0.5605587468378446
AZ,316,43.34704321852482,0,0.5605587468378446
AZ,335,46.5096190773761,0,0.5605587468378446
AZ,345,39.8949454277597,0,0.5605587468378446
AZ,363,40.340738133438485,0,0.5605587468378446
AZ,373,45.71332957955843,0,0.5605587468378446
AZ,388,48.25275229428333,1,0.5605587468378446
