date,key_mlbam,name,rank,predicted_probability,metric,probability,Matchup_Hit_Probability,Model_Hit_Probability,actual_hit,at_bats,model_version,strategy
2026-04-07,650490,Yandy Díaz,1,0.6525458614818477,Game_Hit_Probability,0.6545506212705008,0.8736837706456497,,0,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-07,665742,Juan Soto,2,0.6618807560903149,Game_Hit_Probability,0.6294570709058532,0.8187052128343608,,,0.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-07,671277,Luis García,3,0.6044156093810074,Game_Hit_Probability,0.6133583900500079,0.7680253269583255,,0,1.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-07,669394,Jake Burger,4,0.6525458614818477,Game_Hit_Probability,0.6071843343961325,0.7029761612438371,,0,3.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-07,691406,Junior Caminero,5,0.6237013236667216,Game_Hit_Probability,0.5647436753008952,0.7900422815175498,,0,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-08,665742,Juan Soto,1,0.6595774526852152,Game_Hit_Probability,0.6285913666800074,,,,0.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-08,690993,Colt Keith,2,0.627578761689082,Game_Hit_Probability,0.6543675995155644,,,1,3.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-08,656811,Ryan O'Hearn,3,0.6503754597924578,Game_Hit_Probability,0.6263983524593004,,,0,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-08,650490,Yandy Díaz,4,0.632143492628368,Game_Hit_Probability,0.6392374306861299,,,0,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-08,686948,Drake Baldwin,5,0.64217703023308,Game_Hit_Probability,0.6167154457325501,,,1,5.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-08,519317,Giancarlo Stanton,1,0.6362587005442746,Game_Hit_Probability,0.6678783541510839,0.8078649495725067,,0,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-08,682928,CJ Abrams,2,0.6503754597924578,Game_Hit_Probability,0.5935745855527317,0.8325634376738595,,0,3.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-08,681198,TJ Rumfield,3,0.6041077783426538,Game_Hit_Probability,0.6607986932182106,0.8008838618510836,,0,3.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-08,681624,Andy Pages,4,0.6381188507431441,Game_Hit_Probability,0.7050526455982581,0.7055383118626017,,0,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-08,802415,Chandler Simpson,5,0.6601792069140824,Game_Hit_Probability,0.6603383397249156,0.7003997153286456,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-08,695734,Daylen Lile,1,0.632143492628368,Game_Hit_Probability,0.5939134943612603,0.8088735056609517,,0,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-08,671277,Luis García,2,0.5853577783426538,Game_Hit_Probability,0.608165300111376,0.8349655869256363,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-08,687859,Troy Johnston,3,0.5965429588205389,Game_Hit_Probability,0.6325601484219998,0.7824257312527575,,1,5.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-08,700250,Ben Rice,4,0.63998912085054,Game_Hit_Probability,0.612340641620042,0.7473205418210199,,0,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-08,691781,Brady House,5,0.5926863841622058,Game_Hit_Probability,0.595528104619115,0.8055119602458541,,0,3.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-09,669364,Xavier Edwards,1,0.6389396246843055,Game_Hit_Probability,0.6664178189003969,,,1,5.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-09,690993,Colt Keith,2,0.6347605556382152,Game_Hit_Probability,0.6518957498957286,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-09,672640,Otto Lopez,3,0.6382699929398928,Game_Hit_Probability,0.6147915543785389,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-09,687859,Troy Johnston,4,0.6042574623957603,Game_Hit_Probability,0.6450823765752524,,,0,5.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-09,701398,Sal Stewart,5,0.6114106671553481,Game_Hit_Probability,0.6083232137298352,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-09,664728,Kyle Isbel,1,0.6401476982202889,Game_Hit_Probability,0.6590466675707292,0.7404926018846687,,0,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-09,690993,Colt Keith,2,0.6347605556382152,Game_Hit_Probability,0.6518957498957286,0.7058643363529378,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
