key_mlbam,name_first,name_last,team,at_bats,Throws,PAVE,PAVE_PLUS,Power_A_PLUS,Expected_Hits,Expected_Bases,Expected_HRs,Fastball_Rate,Breaking_Rate,Offspeed_Rate
670062,Julian,Garcia,CIN,155,R,0.1914639163669065,0.8046937466961105,1.002452914159547,3.8702537233687306,7.77431116008816,0.9948208107927604,0.2986666801771206,0.7013333198228793,0.0
684049,Brandan,Bidois,PIT,77,R,0.19128472222222223,0.8039406209353502,0.8435534453649769,3.6525714285714286,6.542000000000001,0.9345714285714286,0.2877223264540338,0.22651407129455908,0.01576360225140713
699044,Miguel,Ullola,HOU,27,R,0.19103021978021975,0.8028709858443922,1.1737715460422609,4.119616402116402,9.102936507936507,0.8637037037037036,0.7071743295019157,0.2878256704980843,0.004999999999999999
656876,Drew,Rasmussen,TB,595,R,0.19097967649378103,0.8026585600917675,0.7569503617667054,3.9748806527115352,5.870368135993136,0.41450991432609074,0.7841951113634029,0.05417298456414364,0.1616319040724534
694738,Landen,Roupp,SF,632,R,0.1908863039231703,0.8022661293658682,0.7049840831474821,3.6525466091388807,5.4673546736038405,0.3987414210632065,0.5597171656046971,0.2492094093134373,0.19107342508186553
680767,Victor,Vodnik,MIA,215,R,0.19086438903010994,0.802174024400401,0.6681104889689187,3.6310607372150563,5.181389327315922,0.1342596899224806,0.43429047698324946,0.44191271521261916,0.12379680780413138
690978,Dax,Fulton,MIA,87,L,0.19064564564564565,0.8012546791945282,0.6050215435372488,3.6550897988505753,4.692116379310345,0.0,0.414560704859266,0.5281068504170495,0.057332444723684484
656271,Brock,Burke,CIN,285,L,0.1905255376344086,0.8007498834742456,0.6619284225750204,3.71166950222271,5.133445621352652,0.18965808682289667,0.5498183056775708,0.25031612562757527,0.19986556869485395
808967,Yoshinobu,Yamamoto,LAD,630,R,0.18957758895558843,0.7967657992221839,0.8927654431871366,3.868377591036414,6.923653221288516,0.7601941176470588,0.5523235974871348,0.17900188109122006,0.26867452142164516
667652,Jack,Ralston,MIA,35,R,0.189523141654979,0.7965369654912321,0.7306869525197961,3.6664338624338626,5.666687830687831,0.6667513227513228,0.1763191489361702,0.25143326885880074,0.572247582205029
696131,Mason,Black,KC,141,R,0.18948051948051947,0.7963578309686078,0.8253132119602912,3.5278194217130387,6.400541734860885,0.8328254228041462,0.5534179834409106,0.4090904704374984,0.03749154612159104
592454,Tommy,Kahnle,BOS,43,R,0.18929729729729733,0.7955877759739511,1.0111100919987455,3.627742818057456,7.841450068399453,0.9022708618331053,0.16664285714285715,0.0295,0.33385714285714285
690997,Nolan,McLean,NYM,664,R,0.18905831596256742,0.7945833737383584,0.6930964092767192,3.613130044262873,5.375162337848655,0.30693764644844507,0.6806767551858959,0.27096898274681336,0.048354262067290724
683000,Riley,Cornelio,WSH,110,R,0.1883375104427736,0.791553937668271,0.8471106932516833,3.7215504978662874,6.569587482219061,0.8009672830725462,0.5293829696846684,0.4706170303153317,0.0
669310,CJ,Van Eyk,TOR,34,R,0.18806451612903227,0.7904065840503167,0.707524820469051,3.7723529411764707,5.487058823529412,0.34294117647058825,0.6683306055646481,0.18274959083469722,0.14891980360065465
700712,Walbert,Ureña,LAA,547,R,0.1880306263336893,0.7902641503901955,0.7323521022038133,3.688083091210088,5.679601546223813,0.4600969075600676,0.5166076037436332,0.1186297418208693,0.3647626544354974
642152,Lou,Trivino,PHI,35,R,0.18777777777777777,0.7892014663311624,0.6577024864131104,3.076302521008403,5.100672268907563,0.486218487394958,0.33255081300813005,0.11170731707317073,0.08574186991869918
670990,Yohan,Ramírez,PIT,326,R,0.18770240835944219,0.7888847001186163,0.5701145191384055,3.590070993662901,4.421402348240945,0.08098159509202454,0.4070882464962019,0.5895520125342636,0.0033597409695345633
621112,Paul,Blackburn,NYY,304,R,0.18750408999293247,0.7880511981595343,0.8518379283389665,3.822241565983572,6.606248552256688,0.5874768591378385,0.5192012072258462,0.2563522858406757,0.2244465069334781
691769,Philip,Abner,AZ,64,L,0.18725,0.7869832965293441,0.8377348349672246,3.7812500000000004,6.496874999999999,0.20625,0.4092903621564232,0.34456699303999055,0.041142644803586176
677955,Jaden,Hill,COL,155,R,0.18687286397812716,0.7853982511369091,0.8366635656127035,3.5210576923076924,6.4885669975186095,0.6131345636889992,0.5894588677442245,0.18764564591066468,0.2228954863451109
641835,Tim,Mayza,PHI,239,L,0.18644855484878917,0.7836149443419617,0.7719037813127859,3.8760757187204744,5.986336212714266,0.4457548926980699,0.7332464043570707,0.2557655446447732,0.01098805099815614
669713,Hayden,Wesneski,HOU,178,R,0.18630436081242535,0.7830089187180499,0.7673238594421278,3.746590258246464,5.950817599113106,0.3973417371500846,0.5639702543390757,0.29585698474139543,0.140172760919529
681806,Andrew,Wantz,CHC,20,R,0.18625,0.7827804484837935,0.672945842739104,3.336666666666667,5.218888888888889,0.32999999999999996,0.4111111111111111,0.09925925925925924,0.01962962962962963
693686,Spencer,Miles,TOR,347,R,0.18606287134155727,0.781993975167391,0.6274754949797691,3.9019719072392447,4.866253241822253,0.12652943598188554,0.6411805432577409,0.3583746828356616,0.0004447739065974796
680744,Ty,Madden,DET,160,R,0.18557471264367817,0.7799423183380912,0.9031291932033392,3.732163978494624,7.0040270885028955,0.6708726220016542,0.4913627322974573,0.18287264921726648,0.12076461848527625
687330,Kevin,Kelly,TB,247,R,0.18521407206950577,0.7784266008057845,0.8227623878720376,3.9482904442195608,6.380759359153634,0.6688948085075753,0.6393673856858559,0.040850891854022735,0.3197817224601213
689017,Landon,Knack,LAD,34,R,0.1849560117302053,0.7773420124131214,1.0653072580926053,3.8035294117647065,8.261764705882353,1.371764705882353,0.37857142857142856,0.23765873015873018,0.17876984126984127
