key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,starts,K9,BB9,HR9,IP_per_start,Expected_IP,Expected_K,Expected_BB,Expected_H_Allowed,FIP_Windowed,Expected_ER,DK_Points_Pitcher,Expected_H_Allowed_Source,Expected_BB_Source,Opponent_Bases_PG,Opponent_Offense_Ratio,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source
687064,Brandon,Young,BAL,TB,True,824798,2026-08-22T23:05:00Z,21,7.714381892590357,3.398784149694984,1.795462009569666,5.246296296296296,5.246296296296296,4.496881461256889,1.7564547517477704,5.445366575119573,5.112066087589988,2.9799348201939164,10.516967152672201,model,model,17.519976669582967,1.0,19.620370370370374,21,player,4.503672088113747,player,10.516967152672201,0.38095238095238093,player
691725,Andrew,Painter,PHI,STL,True,823422,2026-08-22T22:05:00Z,16,7.735909090909092,4.434545454545455,1.6240909090909093,4.875,4.875,4.190284090909092,1.8927907573399017,5.011661951082831,5.205,2.819375,9.567896556764545,model,model,16.141823140970427,1.0,18.837592592592596,18,player,5.899245150802069,player,9.567896556764545,0.2222222222222222,player
663556,Shane,McClanahan,TB,BAL,False,824798,2026-08-22T23:05:00Z,21,7.574047757716948,2.259172976121141,1.2832731508444961,4.268253968253968,4.268253968253968,3.5919954886244927,1.4286660928010722,4.260954517279217,4.023552708211998,1.9081716459227624,9.557446747926715,model,model,16.973846450617284,1.0,19.709259259259262,21,player,3.6654138872231017,player,9.557446747926715,0.38095238095238093,player
687312,Gabriel,Hughes,COL,CLE,True,824316,2026-08-23T00:10:00Z,7,7.966074453496814,3.5756795999032023,1.2309752359441801,4.433333333333334,4.433333333333334,3.9240292678336157,1.7892967965569992,4.962578552539799,4.299729773332258,2.1180150364932975,9.535903253222557,model,model,15.597735339506173,1.0,14.061111111111112,8,group_fallback,5.525571635049156,group_fallback,9.535903253222557,0.10005480786797394,group_fallback
527048,Martín,Pérez,ATL,MIL,False,823743,2026-08-22T18:10:00Z,20,5.971399553571429,4.094584821428572,0.581671875,4.868518518518519,4.868518518518519,3.230207700892857,1.767892111485928,5.079742038073098,3.978076636904762,2.1519266416507445,9.00214829541548,model,model,17.55034336419753,1.0,16.257777777777775,24,player,4.633875215508564,player,9.00214829541548,0.25,player
674003,Cody,Bradford,TEX,LAA,True,822858,2026-08-22T23:05:00Z,3,6.073891625615763,2.4295566502463055,0.7004926108374385,4.7,4.7,3.1719211822660096,1.6753563137318825,5.494715471345934,3.57192118226601,1.865336617405583,8.886126058674163,model,model,14.39335648148148,1.0,14.061111111111112,3,group_fallback,5.525571635049156,group_fallback,8.886126058674163,0.10005480786797394,group_fallback
694918,Blade,Tidwell,SF,BOS,False,824718,2026-08-22T23:15:00Z,3,6.212539184952979,4.553605015673981,0.6771159874608151,4.877777777777777,4.877777777777777,3.3670428422152563,1.9843458381129047,5.167222324376537,4.215360501567398,2.284621308874182,8.848902169188484,model,model,18.164261689511036,1.0,10.272222222222222,11,player,4.589605507817098,player,8.848902169188484,0.09090909090909091,player
663623,Jake,Irvin,WSH,MIA,False,823831,2026-08-22T20:10:00Z,15,8.413754940711463,4.502134387351779,2.1288379446640318,4.504999999999999,4.504999999999999,4.211551778656126,1.889481263151807,4.779615578222259,5.805976284584981,2.906213684672815,8.745468083142182,model,model,16.539849537037036,1.0,20.618888888888883,15,player,5.736359699871515,player,8.745468083142182,0.2,player
623454,Drew,Anderson,DET,KC,False,824073,2026-08-22T23:15:00Z,5,8.03606540047218,3.8906867754325383,1.4196906163007859,4.102222222222222,4.102222222222222,3.6628584516720113,1.803152360809315,4.424827637959339,4.661767504140386,2.124845138924235,8.569238626234362,model,model,15.868337639965546,1.0,10.654814814814818,43,player,3.637399081703325,player,8.569238626234362,0.023255813953488372,player
696270,Ryan,Johnson,LAA,TEX,False,822858,2026-08-22T23:05:00Z,12,7.221285236502627,4.842391304347826,2.3797539417104634,4.508333333333333,4.508333333333333,3.6173289934702972,1.975832565996968,4.896068775237792,6.546822742474916,3.2794732441471566,6.6963206939054265,model,model,15.040956790123456,1.0,11.98925925925926,15,player,6.196344203527932,player,6.6963206939054265,0.06666666666666667,player
