consensus_rank,rank,player_name,TEAM,POS,BEST,WORST,AVG.,STD.DEV,source_url,consensus_score,sources_ranked_by,source_ranks,CNG,College,Ht,Wt,CLS,Pick
37,19,Jermod McCoy,,CB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,60.0,1,"{'DraftTek': 19.0, 'FantasyPros': None}",--,Tennessee,"6'1""",188,JR,101
38,19,Kadyn Proctor (Alabama),Kadyn Proctor (Alabama),OT3,17,22.0,20.0,2.2,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,60.0,1,"{'DraftTek': None, 'FantasyPros': 19.0}",,,,,,
39,20,Avieon Terrell (Clemson),Avieon Terrell (Clemson),CB3,16,26.0,20.3,4.2,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,60.5,1,"{'DraftTek': None, 'FantasyPros': 20.0}",,,,,,
40,20,Omar Cooper Jr.,,WR,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,60.5,1,"{'DraftTek': 20.0, 'FantasyPros': None}",--,Indiana,"6'0""",199,RJR,30
41,21,Blake Miller,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,61.0,1,"{'DraftTek': 21.0, 'FantasyPros': None}",+7,Clemson,"6'7""",317,SR,17
42,21,Cashius Howell (Texas A&M),Cashius Howell (Texas A&M),EDGE2,18,28.0,22.7,4.1,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,61.0,1,"{'DraftTek': None, 'FantasyPros': 21.0}",,,,,,
43,22,Chris Johnson,,CB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,61.5,1,"{'DraftTek': 22.0, 'FantasyPros': None}",--,San Diego State,"6'0""",193,SR,27
44,22,K.C. Concepcion (Texas A&M),K.C. Concepcion (Texas A&M),WR4,21,24.0,22.7,1.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,61.5,1,"{'DraftTek': None, 'FantasyPros': 22.0}",,,,,,
45,23,Caleb Lomu (Utah),Caleb Lomu (Utah),OT4,19,27.0,23.0,3.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,62.0,1,"{'DraftTek': None, 'FantasyPros': 23.0}",,,,,,
46,23,T.J. Parker,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,62.0,1,"{'DraftTek': 23.0, 'FantasyPros': None}",--,Clemson,"6'4""",263,JR,35
47,24,Kadyn Proctor,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,62.5,1,"{'DraftTek': 24.0, 'FantasyPros': None}",--,Alabama,"6'7""",352,JR,12
