key_mlbam,name_first,name_last,team,opponent,dk_slot,DK_Points,Estimated_Salary
668227,Randy,Arozarena,SEA,TEX,OF,4.194771009991289,5500.0
686469,Vinnie,Pasquantino,KC,DET,1B,4.194771009991289,5500.0
545361,Mike,Trout,LAA,SF,OF,4.194771009991289,5500.0
808959,Munetaka,Murakami,CWS,HOU,1B,4.19420211033523,5500.0
647304,Josh,Naylor,SEA,TEX,1B,4.192742207061452,5400.0
608324,Alex,Bregman,CHC,PIT,3B,4.185925454043421,5400.0
691176,Jasson,Domínguez,NYY,PHI,OF,4.183802106378615,5400.0
669016,Brandon,Marsh,PHI,NYY,OF,4.180192074006783,5400.0
691594,Javier,Sanoja,MIA,SD,3B,4.176965302656572,5400.0
680777,Ryan,Jeffers,MIN,ATH,C,4.168742541525613,5400.0
664040,Brandon,Lowe,PIT,CHC,2B,4.164579352782648,5400.0
607043,Brandon,Nimmo,TEX,SEA,OF,4.164213142755962,5400.0
668723,Ryan,Vilade,TB,CLE,OF,4.161100993554539,5400.0
683083,Nasim,Nuñez,WSH,AZ,2B,4.156836594984549,5400.0
807712,Luke,Keaschall,MIN,ATH,2B,4.153099225696321,5400.0
668904,Royce,Lewis,MIN,ATH,3B,4.144409057183642,5300.0
673962,Josh,Jung,TEX,SEA,3B,4.141310624040682,5300.0
701678,Hao-Yu,Lee,DET,KC,2B,4.137995236862164,5300.0
676391,Ernie,Clement,TOR,BOS,2B,4.1346110937152405,5300.0
696100,Hunter,Goodman,COL,MIL,C,4.124676628978528,5300.0
664770,Nathan,Lukes,TOR,BOS,OF,4.113488245734117,5300.0
702284,Cole,Young,SEA,TEX,2B,4.094635840591905,5200.0
695506,Jac,Caglianone,KC,DET,OF,4.094635840591905,5200.0
592518,Manny,Machado,SD,MIA,3B,4.094495164630689,5200.0
662139,Daulton,Varsho,TOR,BOS,OF,4.093786835539644,5200.0
694374,Tim,Tawa,AZ,WSH,OF,4.087726928397777,5200.0
502671,Paul,Goldschmidt,NYY,PHI,1B,4.087120375569848,5200.0
695731,Braden,Montgomery,CWS,HOU,OF,4.082672529175249,5200.0
641857,Ryan,McMahon,NYY,PHI,3B,4.082663737215713,5200.0
650402,Gleyber,Torres,DET,KC,2B,4.080983688479899,5200.0
669003,Garrett,Mitchell,MIL,COL,OF,4.07985071198295,5200.0
803011,Sam,Antonacci,CWS,HOU,OF,4.078806426390877,5200.0
666182,Bo,Bichette,NYM,LAD,3B,4.073533816539106,5200.0
608070,José,Ramírez,CLE,TB,3B,4.072832275890599,5200.0
804606,Konnor,Griffin,PIT,CHC,SS,4.068533089868076,5200.0
683953,Travis,Bazzana,CLE,TB,2B,4.062860181710678,5200.0
691788,Joe,Mack,MIA,SD,C,4.060478702341233,5200.0
543510,James,McCann,AZ,WSH,C,4.057270672923124,5200.0
691723,Coby,Mayo,BAL,ATL,3B,4.0571303887142,5200.0
687401,Joey,Ortiz,MIL,COL,SS,4.0544255818751,5200.0
672695,Geraldo,Perdomo,AZ,WSH,SS,4.045855406995205,5100.0
663616,Trevor,Larnach,MIN,ATH,OF,4.041011373777271,5100.0
655316,Andruw,Monasterio,BOS,TOR,SS,4.03137660874305,5100.0
672275,Patrick,Bailey,CLE,TB,C,4.029253188573335,5100.0
673237,Yainer,Diaz,HOU,CWS,C,4.02811643615433,5100.0
669236,Jeremiah,Jackson,BAL,ATL,2B,4.017243224257192,5100.0
641680,Jonah,Heim,ATH,MIN,C,4.013502528606641,5100.0
676356,Jonny,DeLuca,TB,CLE,OF,4.012067680764438,5100.0
669364,Xavier,Edwards,MIA,SD,2B,4.009215265585588,5100.0
669065,Kyle,Stowers,MIA,SD,OF,4.004981259389852,5000.0
701538,Jackson,Merrill,SD,MIA,OF,4.002381727819926,5000.0
666160,Mickey,Moniak,COL,MIL,OF,4.001638940863864,5000.0
657041,Lane,Thomas,KC,DET,OF,3.992848221077995,5000.0
673357,Luis,Robert,NYM,LAD,OF,3.991009427024838,5000.0
668715,Spencer,Steer,CIN,STL,1B,3.987767820272236,5000.0
605141,Mookie,Betts,LAD,NYM,SS,3.986682820739489,5000.0
701358,Cam,Smith,HOU,CWS,OF,3.98086545035163,5000.0
695657,Colson,Montgomery,CWS,HOU,SS,3.971321300013501,5000.0
641933,Tyler,O'Neill,BAL,ATL,OF,3.964242042169225,5000.0
678011,Anthony,Seigler,BOS,TOR,2B,3.952948144363762,4900.0
605170,Víctor,Caratini,MIN,ATH,C,3.9375072115171736,4900.0
696135,Kahlil,Watson,CLE,TB,OF,3.931065465961313,4900.0
669224,Austin,Wells,NYY,PHI,C,3.93081668723345,4900.0
683748,Victor,Mesa,TB,CLE,OF,3.925156773753857,4900.0
672386,Alejandro,Kirk,TOR,BOS,C,3.918954524822763,4900.0
695490,Edwin,Arroyo,CIN,STL,2B,3.914296862622638,4900.0
