key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
669467,Andre Pallante,K9,27,6.615384615384615,25.0,20.0,6.818241942975279,5.770701745535264,7.2261022072662975
669467,Andre Pallante,BB9,27,2.6153846153846154,25.0,16.0,2.705793614508085,2.127224029664321,3.0210420841683367
669467,Andre Pallante,HR9,27,0.7692307692307693,,,0.8643884905975294,0.8643884905975294,0.8643884905975294
669467,Andre Pallante,FIP,27,3.7666666666666666,25.0,16.0,4.148881742004544,3.781151484335276,4.569512588073552
669923,George Kirby,K9,28,8.138028169014085,25.0,17.0,7.961888868534786,7.223543400713437,8.815519765739385
669923,George Kirby,BB9,28,1.9014084507042255,25.0,19.0,2.097324901410494,1.8627369491861852,2.2660008279219777
669923,George Kirby,HR9,28,1.1408450704225352,,,1.0325501448479015,1.0325501448479015,1.0325501448479015
669923,George Kirby,FIP,28,3.6492957746478876,25.0,17.0,3.9830454968516267,3.6067357512953366,4.232211538461539
670970,Adrián Morejón,K9,27,10.45664739884393,25.0,16.0,10.367913583981057,9.375047086891009,11.110933064737662
670970,Adrián Morejón,BB9,27,1.8728323699421967,25.0,18.0,2.2976633336091847,1.951181535079685,2.568390958488989
670970,Adrián Morejón,HR9,27,0.4682080924855492,,,0.7420348788168447,0.7420348788168447,0.7420348788168447
670970,Adrián Morejón,FIP,27,2.232947976878613,25.0,17.0,2.7870460009018343,2.464097363083164,3.275895765472313
670990,Yohan Ramírez,K9,31,10.300578034682081,25.0,14.0,9.707363204534074,8.81649393740783,10.564098176306654
670990,Yohan Ramírez,BB9,31,3.901734104046243,25.0,17.0,3.983038211330169,3.7058823529411766,4.115853658536586
670990,Yohan Ramírez,HR9,31,0.6242774566473989,,,0.7860637423992295,0.7860637423992295,0.7860637423992295
670990,Yohan Ramírez,FIP,31,3.533526011560694,25.0,19.0,3.804735106067652,3.5918968960639095,4.020111808432855
671096,Andrew Abbott,K9,27,7.245762711864407,25.0,18.0,7.29449908789844,5.861049107142857,8.49646803589559
671096,Andrew Abbott,BB9,27,4.5,25.0,12.0,4.485334393964975,3.9586416747809148,4.813713648610983
671096,Andrew Abbott,HR9,27,1.2966101694915255,,,1.0589740711216353,1.0589740711216353,1.0589740711216353
671096,Andrew Abbott,FIP,27,4.86271186440678,25.0,16.0,4.324190700957976,4.131540914837375,4.68214543062126
671737,Taj Bradley,K9,25,10.512605042016807,25.0,18.0,9.788981456046866,9.0924740941192,10.422543839225886
671737,Taj Bradley,BB9,25,3.7058823529411766,25.0,15.0,3.711978674641944,3.173199884792627,4.166603666603667
671737,Taj Bradley,HR9,25,1.2857142857142858,,,1.0285840843343443,1.0285840843343443,1.0285840843343443
671737,Taj Bradley,FIP,25,3.9067226890756306,25.0,22.0,4.008860761743794,3.541583484573503,4.3678234628442105
