key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
701358,1,2026-07-29,Cam,Smith,HOU
670623,1,2026-07-29,Isaac,Paredes,HOU
665877,1,2026-07-30,José,Fermín,STL
680574,1,2026-07-30,Matt,McLain,CIN
677800,1,2026-07-30,Wilyer,Abreu,BOS
663538,1,2026-07-30,Nico,Hoerner,CHC
664023,1,2026-07-30,Ian,Happ,CHC
663993,1,2026-07-30,Nathaniel,Lowe,CIN
665750,1,2026-07-29,Leody,Taveras,BAL
660670,1,2026-07-30,Ronald,Acuña,ATL
683737,1,2026-07-30,Michael,Busch,CHC
624641,1,2026-07-29,Edmundo,Sosa,PHI
682829,1,2026-07-30,Elly,De La Cruz,CIN
688363,1,2026-07-30,Graham,Pauley,MIA
689414,1,2026-07-30,Liam,Hicks,MIA
624413,1,2026-07-29,Pete,Alonso,BAL
676914,1,2026-07-29,Davis,Schneider,TOR
686555,1,2026-07-30,Isaac,Collins,KC
696285,1,2026-07-29,Jacob,Young,WSH
681297,1,2026-07-29,Colton,Cowser,BAL
691723,1,2026-07-29,Coby,Mayo,BAL
683002,1,2026-07-29,Gunnar,Henderson,BAL
621493,1,2026-07-29,Taylor,Ward,BAL
805300,1,2026-07-30,Jakob,Marsee,MIA
681198,1,2026-07-29,TJ,Rumfield,COL
663837,1,2026-07-29,Matt,Vierling,DET
545341,1,2026-07-30,Randal,Grichuk,CWS
672386,1,2026-07-29,Alejandro,Kirk,TOR
669224,1,2026-07-30,Austin,Wells,NYY
687529,1,2026-07-30,Grant,McCray,SF
676566,1,2026-07-26,,,PIT
676609,1,2026-07-29,José,Caballero,NYY
646240,1,2026-07-30,Rafael,Devers,SF
663757,1,2026-07-30,Trent,Grisham,NYY
669477,1,2026-07-27,Casey,Schmitt,SF
641857,0,2026-07-30,Ryan,McMahon,NYY
650333,0,2026-07-30,Luis,Arráez,SF
672275,0,2026-07-29,Patrick,Bailey,CLE
700250,0,2026-07-30,Ben,Rice,NYY
663743,0,2026-07-29,Nick,Fortes,TB
702176,0,2026-07-29,Alan,Roden,MIN
680664,0,2026-07-29,,,DET
676551,0,2026-07-26,Brewer,Hicklen,ATL
828599,0,2026-07-29,,,HOU
695670,0,2026-07-29,Harry,Ford,WSH
695720,0,2026-07-30,,,ATH
687952,0,2026-07-29,Christian,Encarnacion-Strand,BAL
682988,0,2026-07-28,Tyler,Locklear,AZ
650559,0,2026-07-29,Bryan,De La Cruz,PHI
623205,0,2026-07-26,Andrew,Velazquez,KC
701649,0,2026-07-28,,,CHC
666126,0,2026-07-30,Carlos,Cortes,ATH
691016,0,2026-07-30,Tyler,Soderstrom,ATH
701762,0,2026-07-30,Nick,Kurtz,ATH
642708,0,2026-07-30,Amed,Rosario,NYY
502671,0,2026-07-30,Paul,Goldschmidt,NYY
664034,0,2026-07-30,Ty,France,SD
696100,0,2026-07-29,Hunter,Goodman,COL
664983,0,2026-07-29,Jake,McCarthy,COL
690924,0,2026-07-26,Braxton,Fulford,COL
678662,0,2026-07-29,Ezequiel,Tovar,COL
672640,0,2026-07-30,Otto,Lopez,MIA
691720,0,2026-07-26,Kyle,Karros,COL
665052,0,2026-07-30,Griffin,Conine,MIA
681715,0,2026-07-30,Heriberto,Hernandez,MIA
691594,0,2026-07-30,Javier,Sanoja,MIA
605170,0,2026-07-30,Víctor,Caratini,MIN
641933,0,2026-07-29,Tyler,O'Neill,BAL
686797,0,2026-07-30,Brooks,Lee,MIN
621439,0,2026-07-28,Byron,Buxton,MIN
807712,0,2026-07-30,Luke,Keaschall,MIN
668885,0,2026-07-30,Austin,Martin,MIN
605137,0,2026-07-30,Josh,Bell,MIN
665926,0,2026-07-29,Andrés,Giménez,TOR
664770,0,2026-07-29,Nathan,Lukes,TOR
666397,0,2026-07-29,Edouard,Julien,COL
690976,0,2026-07-26,Alex,Freeland,LAD
663586,0,2026-07-29,Austin,Riley,ATL
657041,0,2026-07-30,Lane,Thomas,KC
621566,0,2026-07-30,Matt,Olson,ATL
686469,0,2026-07-28,Vinnie,Pasquantino,KC
643289,0,2026-07-30,Mauricio,Dubón,ATL
516782,0,2026-07-29,Starling,Marte,KC
695600,0,2026-07-30,Carter,Jensen,KC
642201,0,2026-07-30,Eli,White,ATL
686948,0,2026-07-30,Drake,Baldwin,ATL
621020,0,2026-07-30,Dansby,Swanson,CHC
691781,0,2026-07-30,Brady,House,WSH
624424,0,2026-07-30,Michael,Conforto,CHC
665953,0,2026-07-30,Andrés,Chaparro,WSH
695578,0,2026-07-30,James,Wood,WSH
660688,0,2026-07-30,Keibert,Ruiz,WSH
663616,0,2026-07-30,Trevor,Larnach,MIN
521692,0,2026-07-30,Salvador,Pérez,KC
671739,0,2026-07-30,Michael,Harris,ATL
664702,0,2026-07-28,Myles,Straw,TOR
608701,0,2026-07-30,Rob,Refsnyder,SEA
681807,0,2026-07-26,David,Fry,CLE
668670,0,2026-07-25,Jake,Rogers,DET
620443,0,2026-07-29,Luis,Torrens,NYM
687859,0,2026-07-29,Troy,Johnston,COL
663647,0,2026-07-29,Ke'Bryan,Hayes,CIN
553993,0,2026-07-30,Eugenio,Suárez,CIN
665966,0,2026-07-29,Carlos,Narváez,BOS
668715,0,2026-07-26,Spencer,Steer,CIN
680776,0,2026-07-30,Jarren,Duran,BOS
682622,0,2026-07-30,Noelvi,Marte,CIN
682928,0,2026-07-30,CJ,Abrams,WSH
683083,0,2026-07-30,Nasim,Nuñez,WSH
678489,0,2026-07-29,Jorge,Barrosa,AZ
624431,0,2026-07-28,Jose,Trevino,CIN
657136,0,2026-07-30,Connor,Wong,BOS
678391,0,2026-07-30,Jorbit,Vivas,WSH
665804,0,2026-07-29,Miguel,Amaya,CHC
687637,0,2026-07-29,Dylan,Beavers,BAL
669236,0,2026-07-29,Jeremiah,Jackson,BAL
681546,0,2026-07-29,James,Outman,DET
670541,0,2026-07-29,Yordan,Álvarez,HOU
