player_id,player_display_name,position,season,team,games_played,possible_games,games_missed,dk_points_total,dk_points_per_game,games_missed_prior_season,avg_offense_pct
00-0033280,Christian McCaffrey,RB,2025,SF,17,17,0,428.6,25.211764705882356,13.0,0.8311764705882353
00-0038542,Bijan Robinson,RB,2025,ATL,17,17,0,394.8,23.223529411764705,0.0,0.7817647058823529
00-0039075,Puka Nacua,WR,2025,LA,16,17,1,394.0,24.625,6.0,0.6825
00-0034857,Josh Allen,QB,2025,BUF,16,17,1,389.62,24.35125,1.0,0.9217647058823529
00-0038543,Jaxon Smith-Njigba,WR,2025,SEA,17,17,0,387.9,22.81764705882353,0.0,0.7741176470588236
00-0039139,Jahmyr Gibbs,RB,2025,DET,17,17,0,379.90000000000003,22.347058823529412,0.0,0.67
00-0036223,Jonathan Taylor,RB,2025,IND,17,17,0,378.3,22.25294117647059,3.0,0.8258823529411765
00-0026498,Matthew Stafford,QB,2025,LA,17,17,0,376.38,22.14,1.0,0.9852941176470589
00-0039851,Drake Maye,QB,2025,NE,17,17,0,365.76,21.51529411764706,4.0,0.9576470588235295
00-0036971,Trevor Lawrence,QB,2025,JAX,17,17,0,357.18,21.01058823529412,7.0,0.9670588235294119
00-0033077,Dak Prescott,QB,2025,DAL,17,17,0,345.78,20.34,9.0,0.9505882352941176
00-0036963,Amon-Ra St. Brown,WR,2025,DET,17,17,0,339.0,19.941176470588236,0.0,0.8523529411764706
00-0036900,Ja'Marr Chase,WR,2025,CIN,16,17,1,335.6,20.975,0.0,0.94375
00-0039040,De'Von Achane,RB,2025,MIA,16,17,1,334.8,20.925,0.0,0.75375
00-0033106,Jared Goff,QB,2025,DET,17,17,0,333.06,19.591764705882355,0.0,0.9852941176470589
00-0037248,James Cook,RB,2025,BUF,17,17,0,332.20000000000005,19.541176470588237,1.0,0.571764705882353
00-0039732,Bo Nix,QB,2025,DEN,17,17,0,331.84000000000003,19.520000000000003,0.0,0.9964705882352942
00-0037744,Trey McBride,TE,2025,ARI,17,17,0,324.90000000000003,19.111764705882354,1.0,0.9135294117647058
00-0039918,Caleb Williams,QB,2025,CHI,17,17,0,319.98,18.822352941176472,0.0,0.9905882352941177
00-0036389,Jalen Hurts,QB,2025,PHI,16,17,1,316.06,19.75375,2.0,0.9762500000000001
00-0036355,Justin Herbert,QB,2025,LAC,16,17,1,313.88,19.6175,0.0,0.968125
00-0037247,George Pickens,WR,2025,DAL,17,17,0,306.9,18.052941176470586,3.0,0.8111764705882354
00-0032764,Derrick Henry,RB,2025,BAL,17,17,0,306.5,18.029411764705884,0.0,0.5452941176470588
00-0033873,Patrick Mahomes,QB,2025,KC,14,17,3,302.68,21.62,1.0,0.9742857142857143
00-0034855,Baker Mayfield,QB,2025,TB,17,17,0,294.92,17.348235294117647,0.0,0.9711764705882354
00-0038597,Chase Brown,RB,2025,CIN,17,17,0,291.6,17.15294117647059,1.0,0.6658823529411765
00-0037239,Chris Olave,WR,2025,NO,16,17,1,279.0,17.4375,9.0,0.843125
