consensus_rank,rank,player_name,Tm,Age,L,PA,AB,R,H,2B,3B,HR,TB,RBI,BB,SO,SB,CS,LOB,HR%,BB%,K%,AVG,OBP,SLG,OPS,Unnamed: 26,G,IP,ER,HRA,Outs,ERA,WHIP,W,L.1,SV,Unnamed: 19,source_url,consensus_score,sources_ranked_by,source_ranks
76,78,Justin Gonzales,,19,ALL (2),507.0,421.0,82,112,14.0,3.0,19.0,189.0,69.0,68,101,12.0,4.0,169.0,3.7,13.4,19.9,0.266,0.385,0.449,0.834,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,78.0,1,{'MLB Pipeline': 78.0}
77,79,Kevin Alvarez,,18,A,443.0,387.0,69,101,26.0,3.0,11.0,166.0,57.0,44,82,17.0,11.0,186.0,2.5,9.9,18.5,0.261,0.343,0.429,0.772,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,79.0,1,{'MLB Pipeline': 79.0}
78,80,Francisco Renteria,,17,ROK,236.0,198.0,65,75,9.0,9.0,11.0,135.0,55.0,34,36,24.0,4.0,86.0,4.7,14.4,15.3,0.379,0.47,0.682,1.152,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,80.0,1,{'MLB Pipeline': 80.0}
79,81,Juneiker Caceres,,19,ALL (2),337.0,279.0,58,84,14.0,2.0,11.0,135.0,52.0,43,46,7.0,3.0,101.0,3.3,12.8,13.6,0.301,0.409,0.484,0.893,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,81.0,1,{'MLB Pipeline': 81.0}
80,82,Cooper Flemming,,20,A,518.0,447.0,84,133,29.0,3.0,11.0,201.0,79.0,51,89,16.0,8.0,184.0,2.1,9.8,17.2,0.298,0.379,0.45,0.829,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,82.0,1,{'MLB Pipeline': 82.0}
81,83,Angeibel Gomez,,17,ROK,180.0,144.0,49,52,13.0,1.0,9.0,94.0,38.0,28,19,15.0,2.0,66.0,5.0,15.6,10.6,0.361,0.467,0.653,1.12,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,83.0,1,{'MLB Pipeline': 83.0}
82,84,Cam Cannarella,,23,ALL (3),418.0,348.0,71,115,20.0,1.0,15.0,182.0,56.0,59,76,21.0,7.0,100.0,3.6,14.1,18.2,0.33,0.431,0.523,0.954,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,84.0,1,{'MLB Pipeline': 84.0}
83,85,Dax Kilby,,19,ALL (2),164.0,124.0,27,30,4.0,2.0,4.0,50.0,26.0,40,35,12.0,3.0,44.0,2.4,24.4,21.3,0.242,0.427,0.403,0.83,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,85.0,1,{'MLB Pipeline': 85.0}
84,86,Charles Davalan,,22,ALL (2),535.0,444.0,103,129,29.0,3.0,24.0,236.0,72.0,63,57,17.0,3.0,174.0,4.5,11.8,10.7,0.291,0.4,0.532,0.932,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,86.0,1,{'MLB Pipeline': 86.0}
85,87,Josh Adamczewski,,21,ALL (2),494.0,407.0,83,122,27.0,2.0,18.0,207.0,72.0,78,95,18.0,2.0,195.0,3.6,15.8,19.2,0.3,0.417,0.509,0.926,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,87.0,1,{'MLB Pipeline': 87.0}
86,88,Joseph Dzierwa,,22,ALL (2),,,37,88,,,,,,30,149,,,,,,,,,,,,26.0,131.0,33.0,8.0,393.0,2.27,0.9,9.0,2.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,88.0,1,{'MLB Pipeline': 88.0}
87,90,Steele Hall,,19,ALL (2),391.0,321.0,77,83,24.0,2.0,11.0,144.0,54.0,59,104,31.0,7.0,150.0,2.8,15.1,26.6,0.259,0.377,0.449,0.826,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,90.0,1,{'MLB Pipeline': 90.0}
88,91,Owen Ayers,,25,ALL (3),519.0,431.0,78,127,28.0,1.0,25.0,232.0,82.0,79,120,13.0,1.0,169.0,4.8,15.2,23.1,0.295,0.408,0.538,0.946,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,91.0,1,{'MLB Pipeline': 91.0}
89,92,Xavier Neyens,,19,ALL (2),466.0,346.0,79,80,14.0,0.0,20.0,154.0,55.0,114,155,19.0,11.0,150.0,4.3,24.5,33.3,0.231,0.429,0.445,0.874,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,92.0,1,{'MLB Pipeline': 92.0}
90,93,Murf Gray,,22,ALL (3),558.0,469.0,100,143,27.0,0.0,32.0,266.0,97.0,66,114,5.0,0.0,190.0,5.7,11.8,20.4,0.305,0.402,0.567,0.969,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,93.0,1,{'MLB Pipeline': 93.0}
91,94,Nolan Perry,,23,ALL (3),,,25,52,,,,,,32,117,,,,,,,,,,,,21.0,82.2,23.0,7.0,248.0,2.5,1.02,3.0,4.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,94.0,1,{'MLB Pipeline': 94.0}
92,96,Caden Hunter,,22,ALL (3),,,28,62,,,,,,47,151,,,,,,,,,,,,23.0,103.0,23.0,6.0,309.0,2.01,1.06,5.0,3.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,96.0,1,{'MLB Pipeline': 96.0}
93,97,Brady Ebel,,19,ALL (2),538.0,416.0,79,105,26.0,4.0,10.0,169.0,71.0,105,114,40.0,4.0,205.0,1.9,19.5,21.2,0.252,0.413,0.406,0.819,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,97.0,1,{'MLB Pipeline': 97.0}
94,98,Ramon Marquez,,20,ALL (3),,,22,38,,,,,,20,105,,,,,,,,,,,,14.0,69.0,17.0,4.0,207.0,2.22,0.84,7.0,2.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,98.0,1,{'MLB Pipeline': 98.0}
95,99,Ike Irish,,22,A+,343.0,290.0,62,83,20.0,1.0,16.0,153.0,59.0,43,75,20.0,10.0,122.0,4.7,12.5,21.9,0.286,0.388,0.528,0.916,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,99.0,1,{'MLB Pipeline': 99.0}
96,100,Bryan Rincon,,22,AA,534.0,424.0,92,113,24.0,2.0,26.0,219.0,67.0,95,111,30.0,4.0,171.0,4.9,17.8,20.8,0.267,0.41,0.517,0.927,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,100.0,1,{'MLB Pipeline': 100.0}
